출하일자,주문Code1,Sku Code,상품명,박스당PCS,총수량,가로(mm),세로(mm),높이(mm),오더번호,pcs출하,B2C구분,단위부피,수량의 부피,1박스이상되는 주문_표시,index,박스번호,Rank
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,4,143,96,132,723030501912,4,B2C,1.812096,7.248384,,0,,A
2023.03.07,B2C(택배),W00261,艾多美 BB霜 1瓶,91,2,143,96,132,723030503159,2,B2C,1.812096,3.624192,,2,,A
2023.03.07,B2C(택배),W00276,艾多美 凝萃煥膚防曬乳,70,4,48,23,138,723030503159,4,B2C,0.152352,0.609408,,3,,A
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,3,143,96,132,723030503159,3,B2C,1.812096,5.436287999999999,,4,,A
2023.03.07,B2C(택배),W00510,艾多美 牙刷(大型刷頭) 1組 (8支),30,1,245,125,48,723030504200,1,B2C,1.47,1.47,,6,,A
2023.03.07,B2C(택배),W90174,艾多美 洋薊膠囊,50,1,105,65,100,723030504200,1,B2C,0.6825,0.6825,,8,,A
2023.03.07,B2C(택배),W00975,艾多美 阿拉比卡即溶黑咖啡,9,1,190,130,95,723030504200,1,B2C,2.3465,2.3465,,9,,B
2023.03.07,B2C(택배),W00510,艾多美 牙刷(大型刷頭) 1組 (8支),30,1,245,125,48,723030505078,1,B2C,1.47,1.47,,10,,A
2023.03.07,B2C(택배),W00528,艾多美 男士全效洗髮沐浴露,15,1,71,71,210,723030505078,1,B2C,1.05861,1.05861,,11,,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030505078,1,B2C,7.2292,7.2292,,12,,A
2023.03.07,B2C(택배),W90873,艾多美 銀離子柔濕巾-20抽,15,1,250,150,130,723030505078,1,B2C,4.875,4.875,,13,,A
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,1,143,96,132,723030505078,1,B2C,1.812096,1.812096,,14,,B
2023.03.07,B2C(택배),W00217,艾多美 凝萃煥膚 化妝水,42,1,55,55,187,723030505526,1,B2C,0.5656749999999999,0.5656749999999999,,16,,A
2023.03.07,B2C(택배),W00178,艾多美 螺旋藻膠囊 100%,80,2,60,60,121,723030505527,2,B2C,0.4356,0.8712,,17,,A
2023.03.07,B2C(택배),W00183,艾多美 石榴美人果凍,14,1,205,70,160,723030505527,1,B2C,2.296,2.296,,18,,A
2023.03.07,B2C(택배),W90943,艾多美 美妍膠原飲,12,5,13,7,10,723030505527,5,B2C,0.00091,0.00455,,19,,B
2023.03.07,B2C(택배),W00591,艾多美 精油 貼布 1盒(11包*5片),20,2,225,165,60,723030505561,2,B2C,2.2275,4.455,,20,,B
2023.03.07,B2C(택배),W90822,艾多美 PTFE薄膜口罩 無鼻樑條款(XL)-尊王藍,60,1,215,110,52,723030505561,1,B2C,1.2298,1.2298,,21,,A
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,3,143,96,132,723030505561,3,B2C,1.812096,5.436287999999999,,22,,A
2023.03.07,B2C(택배),W00227,艾多美 凝萃煥膚 安瓶,42,1,50,50,120,723030600001,1,B2C,0.3,0.3,,23,,A
2023.03.07,B2C(택배),W00121,艾多美 維他命C粉,20,1,111,90,136,723030600001,1,B2C,1.3586399999999998,1.3586399999999998,,24,,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,6,310,110,212,723030600160,6,B2C,7.2292,43.3752,**,28,2.0,A
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,1,110,65,110,723030600160,1,B2C,0.7865,0.7865,**,29,2.0,B
2023.03.07,B2C(택배),W02618,艾多美 產品介紹摺頁(10張),100,1,255,165,2,723030600217,1,B2C,0.08415,0.08415,,30,,A
2023.03.07,B2C(택배),W92619,艾多美 產品型錄,30,1,10,10,10,723030600217,1,B2C,0.001,0.001,,31,,B
2023.03.07,B2C(택배),W90906,艾多美 香烤海苔(大片裝),40,8,320,240,40,723030600217,8,B2C,3.072,24.576,,32,,A
2023.03.07,B2C(택배),W00267,艾多美 凝萃煥膚 營養霜,72,1,70,70,62,723030600292,1,B2C,0.30379999999999996,0.30379999999999996,,33,,A
2023.03.07,B2C(택배),W00801,艾多美 碗盤蔬果洗潔液,12,1,90,80,240,723030600292,1,B2C,1.728,1.728,,34,,B
2023.03.07,B2C(택배),W00835,艾多美 304不鏽鋼絲球,100,1,215,119,30,723030600292,1,B2C,0.76755,0.76755,,36,,A
2023.03.07,B2C(택배),W90189,艾多美 玻尿酸深層卸妝濕巾,36,3,143,96,132,723030600292,3,B2C,1.812096,5.436287999999999,,37,,A
2023.03.07,B2C(택배),W00834,艾多美 乳膠手套(L),60,1,500,171,50,723030600292,1,B2C,4.2749999999999995,4.2749999999999995,,38,,A
2023.03.07,B2C(택배),W00564,艾多美 輕柔棉28cm,12,1,240,74,178,723030600443,1,B2C,3.1612799999999996,3.1612799999999996,,40,,A
2023.03.07,B2C(택배),W90879,艾多美 隨行袖珍包,16,1,220,70,180,723030600443,1,B2C,2.772,2.772,,42,,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030600443,1,B2C,7.2292,7.2292,,43,,A
2023.03.07,B2C(택배),W00769,艾多美 淡化平衡調理液,60,1,45,45,120,723030600443,1,B2C,0.243,0.243,,45,,B
2023.03.07,B2C(택배),W00266,艾多美 珠光隔離乳,70,1,38,38,130,723030600613,1,B2C,0.18772,0.18772,,46,,A
2023.03.07,B2C(택배),W00521,艾多美 蜂膠牙膏50g 1組(4條),60,2,100,30,170,723030600613,2,B2C,0.51,1.02,,47,,A
2023.03.07,B2C(택배),W00511,艾多美 牙刷(小型刷頭) 1組 (8支),30,1,245,105,48,723030600613,1,B2C,1.2348,1.2348,,48,,A
2023.03.07,B2C(택배),W00483,艾多美 月桂保濕噴霧,54,1,34,34,160,723030600613,1,B2C,0.18495999999999999,0.18495999999999999,,50,,B
2023.03.07,B2C(택배),W90873,艾多美 銀離子柔濕巾-20抽,15,1,250,150,130,723030600886,1,B2C,4.875,4.875,,52,,B
2023.03.07,B2C(택배),W00554,艾多美 輕柔棉24cm,12,2,187,67,186,723030600886,2,B2C,2.330394,4.660788,,53,,B
2023.03.07,B2C(택배),W00828,艾多美 濃縮洗衣粉,5,1,320,110,330,723030600886,1,B2C,11.616,11.616,,54,,A
2023.03.07,B2C(택배),W00756,艾多美 水嫩亮白乳霜,54,1,63,63,57,723030601233,1,B2C,0.226233,0.226233,,58,,A
2023.03.07,B2C(택배),W00257,艾多美 凝萃煥膚 眼霜,112,1,65,65,56,723030601933,1,B2C,0.23659999999999998,0.23659999999999998,,61,,A
2023.03.07,B2C(택배),W00217,艾多美 凝萃煥膚 化妝水,42,1,55,55,187,723030601933,1,B2C,0.5656749999999999,0.5656749999999999,,62,,A
2023.03.07,B2C(택배),W00973,艾多美 阿拉比卡三合一即溶咖啡50入,12,1,170,75,172,723030602508,1,B2C,2.193,2.193,,64,,A
2023.03.07,B2C(택배),W00591,艾多美 精油 貼布 1盒(11包*5片),20,2,225,165,60,723030602508,2,B2C,2.2275,4.455,,66,,A
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,1,110,65,110,723030603068,1,B2C,0.7865,0.7865,,68,,A
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,1,143,96,132,723030603068,1,B2C,1.812096,1.812096,,69,,B
2023.03.07,B2C(택배),W00521,艾多美 蜂膠牙膏50g 1組(4條),60,1,100,30,170,723030603068,1,B2C,0.51,0.51,,70,,A
2023.03.07,B2C(택배),W00190,艾多美 經典化妝水,54,1,53,54,179,723030603344,1,B2C,0.512298,0.512298,,72,,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,2,310,110,212,723030603344,2,B2C,7.2292,14.4584,,74,,A
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,1,143,96,132,723030603344,1,B2C,1.812096,1.812096,,75,,A
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,1,110,65,110,723030604007,1,B2C,0.7865,0.7865,,78,,B
2023.03.07,B2C(택배),W00836,艾多美 抽取式洗碗布,30,1,302,103,81,723030604007,1,B2C,2.519586,2.519586,,79,,B
2023.03.07,B2C(택배),W00177,艾多美 蜂膠噴霧,90,1,80,28,124,723030604007,1,B2C,0.27776,0.27776,,82,,A
2023.03.07,B2C(택배),W00331,艾多美 剝離式面膜 1瓶,60,1,143,96,132,723030604016,1,B2C,1.812096,1.812096,,83,,B
2023.03.07,B2C(택배),W00554,艾多美 輕柔棉24cm,12,1,187,67,186,723030604016,1,B2C,2.330394,2.330394,,85,,A
2023.03.07,B2C(택배),W00601,艾多美 洗髮乳 1瓶,8,1,143,96,132,723030604016,1,B2C,1.812096,1.812096,,86,,A
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,1,143,96,132,723030604016,1,B2C,1.812096,1.812096,,87,,B
2023.03.07,B2C(택배),W00682,艾多美 絲滑蛋白護髮慕斯,40,1,55,56,146,723030604016,1,B2C,0.44967999999999997,0.44967999999999997,,88,,B
2023.03.07,B2C(택배),W00564,艾多美 輕柔棉28cm,12,1,240,74,178,723030604016,1,B2C,3.1612799999999996,3.1612799999999996,,89,,B
2023.03.07,B2C(택배),W00521,艾多美 蜂膠牙膏50g 1組(4條),60,1,100,30,170,723030604026,1,B2C,0.51,0.51,,90,,A
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030604172,1,B2C,7.2292,7.2292,,92,,A
2023.03.07,B2C(택배),W00207,艾多美 凝萃煥膚六部曲,6,1,330,215,75,723030604221,1,B2C,5.32125,5.32125,,93,,B
2023.03.07,B2C(택배),W00291,艾多美 玫瑰舒緩噴霧 1瓶,54,1,143,96,132,723030604221,1,B2C,1.812096,1.812096,,94,,A
2023.03.07,B2C(택배),W00801,艾多美 碗盤蔬果洗潔液,12,1,90,80,240,723030604221,1,B2C,1.728,1.728,,95,,B
2023.03.07,B2C(택배),W00681,艾多美 護髮油,63,2,50,45,215,723030604221,2,B2C,0.48374999999999996,0.9674999999999999,,96,,A
